Key,English,Filipino
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Kolektahin ang Twinke Stone mula sa pagpatay sa Aibatt.
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Ihatid ito kay Magician Instructor Lopaze.
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Ihatid ito kay Acrobat Instructor Tailer.
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Patayin si Ren sa Iblis Temple na nasa timog bahagi ng Saint Morning.
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Patayin si Sisif at hanapin ang Soulstone of Hero.
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Patayin ang Venel Guardian at hanapin ang Venel Heart.
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Patayin si Rubo at hanapin ang Letter of Hynan.
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,Patayin ang Prankster at hanapin ang History Book of Heroes.
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Ihatid ang Earring of Heren kay Ata.
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Patayin ang Shacalpion at kunin ang Tear of Darkness.
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Patayin ang Kidler at hanapin ang Clue of Golden Helmet.
QUEST_DESTINATION_0018,Meet Kurumin.,Kausapin si Kurumin.
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,Patayin ang wheelem at kunin ang soul stone.
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Patayin ang hoaren at kunin ang Hall Document.
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Patayin ang steam walker at kunin ang poster of skill (Master).
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Kausapin si Segho at ibigay sa kanya ang Hall Document.
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Patayin ang Ren at kunin ang Seal of Aenn.
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,Kausapin si Tesar at ibigay sa kanya ang Seal of Aenn.
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Patayin ang hunter X at kunin ang Teardrop of Aenn.
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Patayin ang kinsay at kunin ang Magic Underwear of Power.
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.","Kausapin si Rufan, ang boss ng blue flag, at ibigay sa kanya ang Magic Underwear of Power."
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.","Kausapin si Parinee, ang manager ng Saint City station, at ibigay sa kanya ang Feather of Magic Power."
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Ihatid ito sa alkalde ng Darkon.
QUEST_DESTINATION_0032,Defeat Organiger.,Patayin ang Organiger.
QUEST_DESTINATION_0033,Defeat Gangard.,Patayin ang Gangard.
QUEST_DESTINATION_0034,Defeat Hardeser.,Patayin ang Hardeser.
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,Patayin ang grupo ni Mia at kunin ang Mia Report.
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Kausapin ang alkalde ng Saint City.
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,Patayin ang lider ng red bang Theives.
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,Patayin ang red bang Theives at kunin ang symbol ng theives.
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,Patayin si Lord Bang at kunin ang kuwintas.
QUEST_DESTINATION_0040,Hand it to Strange Collector,Ibigay ito sa Strange Collector.
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,Maghanap ng itlog pagkatapos patayin ang Red Mantis C.
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Ihatid ito kay Dr. Estern.
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Ihatid ito kay Dr. Estly.
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,Pakibigay ito sa alkalde ng Darkon.
