Key,English,Filipino
ETC_INC_000016,,
ETC_INC_000017,Lodestar,Lodestar
ETC_INC_000018,Lodelight,Lodelight
ETC_INC_000019,Station,Istasyon
ETC_INC_000020,Weapon,Sandata
ETC_INC_000021,Armor,Baluti
ETC_INC_000022,Food,Pagkain
ETC_INC_000023,Magic,Mahika
ETC_INC_000024,General,Pangkalahatan
ETC_INC_000025,Public Office,Opisinang pampubliko
ETC_INC_000026,Quest Office,Opisina sa paghahanap
ETC_INC_000027,Shield,Kalasag
ETC_INC_000028,Warpzone,Warpzone
ETC_INC_100001,Rainbow Race,Rainbow Race
ETC_INC_100000,Instance,Instance
