Key,English,Polish
ITEMTYPE_1H_SWORD,1H Sword,Miecz Jednuręczny
ITEMTYPE_2H_SWORD,2H Sword,Miecz Dwuręczny
ITEMTYPE_1H_AXE,1H Axe,Topór Jednuręczny
ITEMTYPE_2H_AXE,2H Axe,Topór Dwuręczny
ITEMTYPE_KNUCKLE,Knuckle,Pięść
ITEMTYPE_STICK,Stick,Kij
ITEMTYPE_BOW,Bow,Łuk
ITEMTYPE_YOYO,Yo-Yo,Yo-Yo
ITEMTYPE_WAND,Wand,Różdżka
ITEMTYPE_STAFF,Staff,Personel
ITEMTYPE_COSTUME,Costume,Kostium
ITEMTYPE_SHOES,Shoes,Buty
ITEMTYPE_PICKUP,Pick-Up Pet,Pet Zbierający
ITEMTYPE_REAR_PET,Raised Pet,Pet Wychowywany
ITEMTYPE_CONSUMABLE,Consumable,Przedmiot Zużywalny
ITEMTYPE_BOARD,Board,Deska
ITEMTYPE_CAR,Car,Samochód
ITEMTYPE_WINGS,Wings,Skrzydła
ITEMTYPE_BIKE,Bike,Motor
ITEMTYPE_BERRY,Berry,Jagoda
ITEMTYPE_DICE,Dice,Kość
ITEMTYPE_BOX,Box,Pudełko
ITEMTYPE_VANITY,Vanity,Przedmiot Dekoracyjny
ITEMTYPE_CHIP,Chip,Żeton
