Key,English,Polish
TEXTEMOTION_TXT_000000,Laugh,Śmiech
TEXTEMOTION_TXT_000001,Sad,Smutek
TEXTEMOTION_TXT_000002,Kiss,Pocałunek
TEXTEMOTION_TXT_000003,Surprise,Zdziwienie
TEXTEMOTION_TXT_000004,Blush,Rumieniec
TEXTEMOTION_TXT_000005,Anger,Złość
TEXTEMOTION_TXT_000006,Sigh,Westchnienie
TEXTEMOTION_TXT_000007,Wink,Puść Oczko
TEXTEMOTION_TXT_000008,Ache,Ból
TEXTEMOTION_TXT_000009,Hunger,Głód
TEXTEMOTION_TXT_000010,Yummy,Pyszne!
TEXTEMOTION_TXT_000011,Sneer,Szydzenie
TEXTEMOTION_TXT_000012,Sparkle,Iskrz
TEXTEMOTION_TXT_000013,Ridicule,Kpij
TEXTEMOTION_TXT_000014,Sleepy,Śpiący
TEXTEMOTION_TXT_000015,Rich,Bogaty
TEXTEMOTION_TXT_000016,Glare,Zabij wzrokiem
TEXTEMOTION_TXT_000017,Sweat,Poć się
TEXTEMOTION_TXT_000018,Cat face,Kotek
TEXTEMOTION_TXT_000019,Tongue,Pokaż Język
TEXTEMOTION_TXT_000020,Mad,Wściekły
TEXTEMOTION_TXT_000021,Aha,Aha
TEXTEMOTION_TXT_000022,Embarrassed,Zażenowanie
TEXTEMOTION_TXT_000023,Help,Pomoc
TEXTEMOTION_TXT_000024,Crazy,Wariat
TEXTEMOTION_TXT_000025,Oh!,Ojej!
TEXTEMOTION_TXT_000026,Confused,Zmieszany
TEXTEMOTION_TXT_000027,Ouch,Ała!
TEXTEMOTION_TXT_000028,Love,Miłość
TEXTEMOTION_TXT_100000,Risitas,Risitaski
TEXTEMOTION_TXT_100001,Broken Heart,Złamane Serce
TEXTEMOTION_TXT_100002,Sadge,Smuteczek
TEXTEMOTION_TXT_100003,Copium,Kopium
TEXTEMOTION_TXT_100004,Susge,Podejrzliwie
TEXTEMOTION_TXT_100005,Sheesh,Jejku
TEXTEMOTION_TXT_100006,Acktually,Acktually
